cashTranNo;amount;portfolioRefCode
160128;10000000;nt129
160129;10000000;nt130
160130;10000000;nt131
160131;10000000;nt132
160132;10000000;nt133
160133;10000000;nt134
160134;10000000;nt135
160135;10000000;nt136
160136;10000000;nt137
160137;10000000;nt138
160138;10000000;nt139
160139;10000000;nt140
160140;10000000;nt141
160141;10000000;nt142
160142;10000000;nt143
160143;10000000;nt144
160144;10000000;nt145
160145;10000000;nt146
160146;10000000;nt147
160147;10000000;nt148
160148;10000000;nt149
160149;10000000;nt150
160150;10000000;nt151
160151;10000000;nt152
160152;10000000;nt153
160153;10000000;nt154
160154;10000000;nt155
160155;10000000;nt156
160156;10000000;nt157
160157;10000000;nt158
160158;10000000;nt159
160159;10000000;nt160
160160;10000000;nt161
160161;10000000;nt162
160162;10000000;nt163
160163;10000000;nt164
160164;10000000;nt165
160165;10000000;nt166
160166;10000000;nt167
160167;10000000;nt168
160168;10000000;nt169
160169;10000000;nt170
160170;10000000;nt171
160171;10000000;nt172
160172;10000000;nt173
160173;10000000;nt174
160174;10000000;nt175
160175;10000000;nt176
160176;10000000;nt177
160177;10000000;nt178
160178;10000000;nt179
160179;10000000;nt180
160180;10000000;nt181
160181;10000000;nt182
160182;10000000;nt183
160183;10000000;nt184
160184;10000000;nt185
160185;10000000;nt186
160186;10000000;nt187
160187;10000000;nt188
160188;10000000;nt189
160189;10000000;nt190
160190;10000000;nt191
160191;10000000;nt192
160192;10000000;nt193
160193;10000000;nt194
160194;10000000;nt195
160195;10000000;nt196
160196;10000000;nt197
160197;10000000;nt198
160198;10000000;nt199
160199;10000000;nt200
160200;10000000;nt201
160201;10000000;nt202
160202;10000000;nt203
160203;10000000;nt204
160204;10000000;nt205
160205;10000000;nt206
160206;10000000;nt207
160207;10000000;nt208
160208;10000000;nt209
160209;10000000;nt210
160210;10000000;nt211
160211;10000000;nt212
160212;10000000;nt213
160213;10000000;nt214
160214;10000000;nt215
160215;10000000;nt216
160216;10000000;nt217
160217;10000000;nt218
160218;10000000;nt219
160219;10000000;nt220
160220;10000000;nt221
160221;10000000;nt222
160222;10000000;nt223
160223;10000000;nt224
160224;10000000;nt225
160225;10000000;nt226
160226;10000000;nt227
160227;10000000;nt228
160228;10000000;nt229
160229;10000000;nt230
160230;10000000;nt231
160231;10000000;nt232
160232;10000000;nt233
160233;10000000;nt234
160234;10000000;nt235
160235;10000000;nt236
160236;10000000;nt237
160237;10000000;nt238
160238;10000000;nt239
160239;10000000;nt240
160240;10000000;nt241
160241;10000000;nt242
160242;10000000;nt243
160243;10000000;nt244
160244;10000000;nt245
160245;10000000;nt246
160246;10000000;nt247
160247;10000000;nt248
160248;10000000;nt249
160249;10000000;nt250
160250;10000000;nt251
160251;10000000;nt252
160252;10000000;nt253
160253;10000000;nt254
160254;10000000;nt255
160255;10000000;nt256
160256;10000000;nt257
160257;10000000;nt258
160258;10000000;nt259
160259;10000000;nt260
160260;10000000;nt261
160261;10000000;nt262
160262;10000000;nt263
160263;10000000;nt264
160264;10000000;nt265
160265;10000000;nt266
160266;10000000;nt267
160267;10000000;nt268
160268;10000000;nt269
160269;10000000;nt270
160270;10000000;nt271
160271;10000000;nt272
160272;10000000;nt273
160273;10000000;nt274
160274;10000000;nt275
160275;10000000;nt276
160276;10000000;nt277
160277;10000000;nt278
160278;10000000;nt279
160279;10000000;nt280
160280;10000000;nt281
160281;10000000;nt282
160282;10000000;nt283
160283;10000000;nt284
160284;10000000;nt285
160285;10000000;nt286
160286;10000000;nt287
160287;10000000;nt288
160288;10000000;nt289
160289;10000000;nt290
160290;10000000;nt291
160291;10000000;nt292
160292;10000000;nt293
160293;10000000;nt294
160294;10000000;nt295
160295;10000000;nt296
160296;10000000;nt297
160297;10000000;nt298
160298;10000000;nt299
160299;10000000;nt300
160300;10000000;nt301
160301;10000000;nt302
160302;10000000;nt303
160303;10000000;nt304
160304;10000000;nt305
160305;10000000;nt306
160306;10000000;nt307
160307;10000000;nt308
160308;10000000;nt309
160309;10000000;nt310
160310;10000000;nt311
160311;10000000;nt312
160312;10000000;nt313
160313;10000000;nt314
160314;10000000;nt315
160315;10000000;nt316
160316;10000000;nt317
160317;10000000;nt318
160318;10000000;nt319
160319;10000000;nt320
160320;10000000;nt321
160321;10000000;nt322
160322;10000000;nt323
160323;10000000;nt324
160324;10000000;nt325
160325;10000000;nt326
160326;10000000;nt327
160327;10000000;nt328
160328;10000000;nt329
160329;10000000;nt330
160330;10000000;nt331
160331;10000000;nt332
160332;10000000;nt333
160333;10000000;nt334
160334;10000000;nt335
160335;10000000;nt336
160336;10000000;nt337
160337;10000000;nt338
160338;10000000;nt339
160339;10000000;nt340
160340;10000000;nt341
160341;10000000;nt342
160342;10000000;nt343
160343;10000000;nt344
160344;10000000;nt345
160345;10000000;nt346
160346;10000000;nt347
160347;10000000;nt348
160348;10000000;nt349
160349;10000000;nt350
160350;10000000;nt351
160351;10000000;nt352
160352;10000000;nt353
160353;10000000;nt354
160354;10000000;nt355
160355;10000000;nt356
160356;10000000;nt357
160357;10000000;nt358
160358;10000000;nt359
160359;10000000;nt360
160360;10000000;nt361
160361;10000000;nt362
160362;10000000;nt363
160363;10000000;nt364
160364;10000000;nt365
160365;10000000;nt366
160366;10000000;nt367
160367;10000000;nt368
160368;10000000;nt369
160369;10000000;nt370
160370;10000000;nt371
160371;10000000;nt372
160372;10000000;nt373
160373;10000000;nt374
160374;10000000;nt375
160375;10000000;nt376
160376;10000000;nt377
160377;10000000;nt378
160378;10000000;nt379
160379;10000000;nt380
160380;10000000;nt381
160381;10000000;nt382
160382;10000000;nt383
160383;10000000;nt384
160384;10000000;nt385
160385;10000000;nt386
160386;10000000;nt387
160387;10000000;nt388
160388;10000000;nt389
160389;10000000;nt390
160390;10000000;nt391
160391;10000000;nt392
160392;10000000;nt393
160393;10000000;nt394
160394;10000000;nt395
160395;10000000;nt396
160396;10000000;nt397
160397;10000000;nt398
160398;10000000;nt399
160399;10000000;nt400
160400;10000000;nt401
160401;10000000;nt402
160402;10000000;nt403
160403;10000000;nt404
160404;10000000;nt405
160405;10000000;nt406
160406;10000000;nt407
160407;10000000;nt408
160408;10000000;nt409
160409;10000000;nt410
160410;10000000;nt411
160411;10000000;nt412
160412;10000000;nt413
160413;10000000;nt414
160414;10000000;nt415
160415;10000000;nt416
160416;10000000;nt417
160417;10000000;nt418
160418;10000000;nt419
160419;10000000;nt420
160420;10000000;nt421
160421;10000000;nt422
160422;10000000;nt423
160423;10000000;nt424
160424;10000000;nt425
160425;10000000;nt426
160426;10000000;nt427
160427;10000000;nt428
160428;10000000;nt429
160429;10000000;nt430
160430;10000000;nt431
160431;10000000;nt432
160432;10000000;nt433
160433;10000000;nt434
160434;10000000;nt435
160435;10000000;nt436
160436;10000000;nt437
160437;10000000;nt438
160438;10000000;nt439
160439;10000000;nt440
160440;10000000;nt441
160441;10000000;nt442
160442;10000000;nt443
160443;10000000;nt444
160444;10000000;nt445
160445;10000000;nt446
160446;10000000;nt447
160447;10000000;nt448
160448;10000000;nt449
160449;10000000;nt450
160450;10000000;nt451
160451;10000000;nt452
160452;10000000;nt453
160453;10000000;nt454
160454;10000000;nt455
160455;10000000;nt456
160456;10000000;nt457
160457;10000000;nt458
160458;10000000;nt459
160459;10000000;nt460
160460;10000000;nt461
160461;10000000;nt462
160462;10000000;nt463
160463;10000000;nt464
160464;10000000;nt465
160465;10000000;nt466
160466;10000000;nt467
160467;10000000;nt468
160468;10000000;nt469
160469;10000000;nt470
160470;10000000;nt471
160471;10000000;nt472
160472;10000000;nt473
160473;10000000;nt474
160474;10000000;nt475
160475;10000000;nt476
160476;10000000;nt477
160477;10000000;nt478
160478;10000000;nt479
160479;10000000;nt480
160480;10000000;nt481
160481;10000000;nt482
160482;10000000;nt483
160483;10000000;nt484
160484;10000000;nt485
160485;10000000;nt486
160486;10000000;nt487
160487;10000000;nt488
160488;10000000;nt489
160489;10000000;nt490
160490;10000000;nt491
160491;10000000;nt492
160492;10000000;nt493
160493;10000000;nt494
160494;10000000;nt495
160495;10000000;nt496
160496;10000000;nt497
160497;10000000;nt498
160498;10000000;nt499
160499;10000000;nt500
160500;10000000;nt501
160501;10000000;nt502
160502;10000000;nt503
160503;10000000;nt504
160504;10000000;nt505
160505;10000000;nt506
160506;10000000;nt507
160507;10000000;nt508
160508;10000000;nt509
160509;10000000;nt510
160510;10000000;nt511
160511;10000000;nt512
160512;10000000;nt513
160513;10000000;nt514
160514;10000000;nt515
160515;10000000;nt516
160516;10000000;nt517
160517;10000000;nt518
160518;10000000;nt519
160519;10000000;nt520
160520;10000000;nt521
160521;10000000;nt522
160522;10000000;nt523
160523;10000000;nt524
160524;10000000;nt525
160525;10000000;nt526
160526;10000000;nt527
160527;10000000;nt528
160528;10000000;nt529
160529;10000000;nt530
160530;10000000;nt531
160531;10000000;nt532
160532;10000000;nt533
160533;10000000;nt534
160534;10000000;nt535
160535;10000000;nt536
160536;10000000;nt537
160537;10000000;nt538
160538;10000000;nt539
160539;10000000;nt540
160540;10000000;nt541
160541;10000000;nt542
160542;10000000;nt543
160543;10000000;nt544
160544;10000000;nt545
160545;10000000;nt546
160546;10000000;nt547
160547;10000000;nt548
160548;10000000;nt549
160549;10000000;nt550
160550;10000000;nt551
160551;10000000;nt552
160552;10000000;nt553
160553;10000000;nt554
160554;10000000;nt555
160555;10000000;nt556
160556;10000000;nt557
160557;10000000;nt558
160558;10000000;nt559
160559;10000000;nt560
160560;10000000;nt561
160561;10000000;nt562
160562;10000000;nt563
160563;10000000;nt564
160564;10000000;nt565
160565;10000000;nt566
160566;10000000;nt567
160567;10000000;nt568
160568;10000000;nt569
160569;10000000;nt570
160570;10000000;nt571
160571;10000000;nt572
160572;10000000;nt573
160573;10000000;nt574
160574;10000000;nt575
160575;10000000;nt576
160576;10000000;nt577
160577;10000000;nt578
160578;10000000;nt579
160579;10000000;nt580
160580;10000000;nt581
160581;10000000;nt582
160582;10000000;nt583
160583;10000000;nt584
160584;10000000;nt585
160585;10000000;nt586
160586;10000000;nt587
160587;10000000;nt588
160588;10000000;nt589
160589;10000000;nt590
160590;10000000;nt591
160591;10000000;nt592
160592;10000000;nt593
160593;10000000;nt594
160594;10000000;nt595
160595;10000000;nt596
160596;10000000;nt597
160597;10000000;nt598
160598;10000000;nt599
160599;10000000;nt600
160600;10000000;nt601
160601;10000000;nt602
160602;10000000;nt603
160603;10000000;nt604
160604;10000000;nt605
160605;10000000;nt606
160606;10000000;nt607
160607;10000000;nt608
160608;10000000;nt609
160609;10000000;nt610
160610;10000000;nt611
160611;10000000;nt612
160612;10000000;nt613
160613;10000000;nt614
160614;10000000;nt615
160615;10000000;nt616
160616;10000000;nt617
160617;10000000;nt618
160618;10000000;nt619
160619;10000000;nt620
160620;10000000;nt621
160621;10000000;nt622
160622;10000000;nt623
160623;10000000;nt624
160624;10000000;nt625
160625;10000000;nt626
160626;10000000;nt627
160627;10000000;nt628
160628;10000000;nt629
160629;10000000;nt630
160630;10000000;nt631
160631;10000000;nt632
160632;10000000;nt633
160633;10000000;nt634
160634;10000000;nt635
160635;10000000;nt636
160636;10000000;nt637
160637;10000000;nt638
160638;10000000;nt639
160639;10000000;nt640
160640;10000000;nt641
160641;10000000;nt642
160642;10000000;nt643
160643;10000000;nt644
160644;10000000;nt645
160645;10000000;nt646
160646;10000000;nt647
160647;10000000;nt648
160648;10000000;nt649
160649;10000000;nt650
160650;10000000;nt651
160651;10000000;nt652
160652;10000000;nt653
160653;10000000;nt654
160654;10000000;nt655
160655;10000000;nt656
160656;10000000;nt657
160657;10000000;nt658
160658;10000000;nt659
160659;10000000;nt660
160660;10000000;nt661
160661;10000000;nt662
160662;10000000;nt663
160663;10000000;nt664
160664;10000000;nt665
160665;10000000;nt666
160666;10000000;nt667
160667;10000000;nt668
160668;10000000;nt669
160669;10000000;nt670
160670;10000000;nt671
160671;10000000;nt672
160672;10000000;nt673
160673;10000000;nt674
160674;10000000;nt675
160675;10000000;nt676
160676;10000000;nt677
160677;10000000;nt678
160678;10000000;nt679
160679;10000000;nt680
160680;10000000;nt681
160681;10000000;nt682
160682;10000000;nt683
160683;10000000;nt684
160684;10000000;nt685
160685;10000000;nt686
160686;10000000;nt687
160687;10000000;nt688
160688;10000000;nt689
160689;10000000;nt690
160690;10000000;nt691
160691;10000000;nt692
160692;10000000;nt693
160693;10000000;nt694
160694;10000000;nt695
160695;10000000;nt696
160696;10000000;nt697
160697;10000000;nt698
160698;10000000;nt699
160699;10000000;nt700
160700;10000000;nt701
160701;10000000;nt702
160702;10000000;nt703
160703;10000000;nt704
160704;10000000;nt705
160705;10000000;nt706
160706;10000000;nt707
160707;10000000;nt708
160708;10000000;nt709
160709;10000000;nt710
160710;10000000;nt711
160711;10000000;nt712
160712;10000000;nt713
160713;10000000;nt714
160714;10000000;nt715
160715;10000000;nt716
160716;10000000;nt717
160717;10000000;nt718
160718;10000000;nt719
160719;10000000;nt720
160720;10000000;nt721
160721;10000000;nt722
160722;10000000;nt723
160723;10000000;nt724
160724;10000000;nt725
160725;10000000;nt726
160726;10000000;nt727
160727;10000000;nt728
160728;10000000;nt729
160729;10000000;nt730
160730;10000000;nt731
160731;10000000;nt732
160732;10000000;nt733
160733;10000000;nt734
160734;10000000;nt735
160735;10000000;nt736
160736;10000000;nt737
160737;10000000;nt738
160738;10000000;nt739
160739;10000000;nt740
160740;10000000;nt741
160741;10000000;nt742
160742;10000000;nt743
160743;10000000;nt744
160744;10000000;nt745
160745;10000000;nt746
160746;10000000;nt747
160747;10000000;nt748
160748;10000000;nt749
160749;10000000;nt750
160750;10000000;nt751
160751;10000000;nt752
160752;10000000;nt753
160753;10000000;nt754
160754;10000000;nt755
160755;10000000;nt756
160756;10000000;nt757
160757;10000000;nt758
160758;10000000;nt759
160759;10000000;nt760
160760;10000000;nt761
160761;10000000;nt762
160762;10000000;nt763
160763;10000000;nt764
160764;10000000;nt765
160765;10000000;nt766
160766;10000000;nt767
160767;10000000;nt768
160768;10000000;nt769
160769;10000000;nt770
160770;10000000;nt771
160771;10000000;nt772
160772;10000000;nt773
160773;10000000;nt774
160774;10000000;nt775
160775;10000000;nt776
160776;10000000;nt777
160777;10000000;nt778
160778;10000000;nt779
160779;10000000;nt780
160780;10000000;nt781
160781;10000000;nt782
160782;10000000;nt783
160783;10000000;nt784
160784;10000000;nt785
160785;10000000;nt786
160786;10000000;nt787
160787;10000000;nt788
160788;10000000;nt789
160789;10000000;nt790
160790;10000000;nt791
160791;10000000;nt792
160792;10000000;nt793
160793;10000000;nt794
160794;10000000;nt795
160795;10000000;nt796
160796;10000000;nt797
160797;10000000;nt798
160798;10000000;nt799
160799;10000000;nt800
160800;10000000;nt801
160801;10000000;nt802
160802;10000000;nt803
160803;10000000;nt804
160804;10000000;nt805
160805;10000000;nt806
160806;10000000;nt807
160807;10000000;nt808
160808;10000000;nt809
160809;10000000;nt810
160810;10000000;nt811
160811;10000000;nt812
160812;10000000;nt813
160813;10000000;nt814
160814;10000000;nt815
160815;10000000;nt816
160816;10000000;nt817
160817;10000000;nt818
160818;10000000;nt819
160819;10000000;nt820
160820;10000000;nt821
160821;10000000;nt822
160822;10000000;nt823
160823;10000000;nt824
160824;10000000;nt825
160825;10000000;nt826
160826;10000000;nt827
160827;10000000;nt828
160828;10000000;nt829
160829;10000000;nt830
160830;10000000;nt831
160831;10000000;nt832
160832;10000000;nt833
160833;10000000;nt834
160834;10000000;nt835
160835;10000000;nt836
160836;10000000;nt837
160837;10000000;nt838
160838;10000000;nt839
160839;10000000;nt840
160840;10000000;nt841
160841;10000000;nt842
160842;10000000;nt843
160843;10000000;nt844
160844;10000000;nt845
160845;10000000;nt846
160846;10000000;nt847
160847;10000000;nt848
160848;10000000;nt849
160849;10000000;nt850
160850;10000000;nt851
160851;10000000;nt852
160852;10000000;nt853
160853;10000000;nt854
160854;10000000;nt855
160855;10000000;nt856
160856;10000000;nt857
160857;10000000;nt858
160858;10000000;nt859
160859;10000000;nt860
160860;10000000;nt861
160861;10000000;nt862
160862;10000000;nt863
160863;10000000;nt864
160864;10000000;nt865
160865;10000000;nt866
160866;10000000;nt867
160867;10000000;nt868
160868;10000000;nt869
160869;10000000;nt870
160870;10000000;nt871
160871;10000000;nt872
160872;10000000;nt873
160873;10000000;nt874
160874;10000000;nt875
160875;10000000;nt876
160876;10000000;nt877
160877;10000000;nt878
160878;10000000;nt879
160879;10000000;nt880
160880;10000000;nt881
160881;10000000;nt882
160882;10000000;nt883
160883;10000000;nt884
160884;10000000;nt885
160885;10000000;nt886
160886;10000000;nt887
160887;10000000;nt888
160888;10000000;nt889
160889;10000000;nt890
160890;10000000;nt891
160891;10000000;nt892
160892;10000000;nt893
160893;10000000;nt894
160894;10000000;nt895
160895;10000000;nt896
160896;10000000;nt897
160897;10000000;nt898
160898;10000000;nt899
160899;10000000;nt900
160900;10000000;nt901
160901;10000000;nt902
160902;10000000;nt903
160903;10000000;nt904
160904;10000000;nt905
160905;10000000;nt906
160906;10000000;nt907
160907;10000000;nt908
160908;10000000;nt909
160909;10000000;nt910
160910;10000000;nt911
160911;10000000;nt912
160912;10000000;nt913
160913;10000000;nt914
160914;10000000;nt915
160915;10000000;nt916
160916;10000000;nt917
160917;10000000;nt918
160918;10000000;nt919
160919;10000000;nt920
160920;10000000;nt921
160921;10000000;nt922
160922;10000000;nt923
160923;10000000;nt924
160924;10000000;nt925
160925;10000000;nt926
160926;10000000;nt927
160927;10000000;nt928
160928;10000000;nt929
160929;10000000;nt930
160930;10000000;nt931
160931;10000000;nt932
160932;10000000;nt933
160933;10000000;nt934
160934;10000000;nt935
160935;10000000;nt936
160936;10000000;nt937
160937;10000000;nt938
160938;10000000;nt939
160939;10000000;nt940
160940;10000000;nt941
160941;10000000;nt942
160942;10000000;nt943
160943;10000000;nt944
160944;10000000;nt945
160945;10000000;nt946
160946;10000000;nt947
160947;10000000;nt948
160948;10000000;nt949
160949;10000000;nt950
160950;10000000;nt951
160951;10000000;nt952
160952;10000000;nt953
160953;10000000;nt954
160954;10000000;nt955
160955;10000000;nt956
160956;10000000;nt957
160957;10000000;nt958
160958;10000000;nt959
160959;10000000;nt960
160960;10000000;nt961
160961;10000000;nt962
160962;10000000;nt963
160963;10000000;nt964
160964;10000000;nt965
160965;10000000;nt966
160966;10000000;nt967
160967;10000000;nt968
160968;10000000;nt969
160969;10000000;nt970
160970;10000000;nt971
160971;10000000;nt972
160972;10000000;nt973
160973;10000000;nt974
160974;10000000;nt975
160975;10000000;nt976
160976;10000000;nt977
160977;10000000;nt978
160978;10000000;nt979
160979;10000000;nt980
160980;10000000;nt981
160981;10000000;nt982
160982;10000000;nt983
160983;10000000;nt984
160984;10000000;nt985
160985;10000000;nt986
160986;10000000;nt987
160987;10000000;nt988
160988;10000000;nt989
160989;10000000;nt990
160990;10000000;nt991
160991;10000000;nt992
160992;10000000;nt993
160993;10000000;nt994
160994;10000000;nt995
160995;10000000;nt996
160996;10000000;nt997
160997;10000000;nt998
160998;10000000;nt999
160999;10000000;nt1000
161000;10000000;nt1001
161001;10000000;nt1002
161002;10000000;nt1003
161003;10000000;nt1004
161004;10000000;nt1005
161005;10000000;nt1006
161006;10000000;nt1007
161007;10000000;nt1008
161008;10000000;nt1009
161009;10000000;nt1010
161010;10000000;nt1011
161011;10000000;nt1012
161012;10000000;nt1013
161013;10000000;nt1014
161014;10000000;nt1015
161015;10000000;nt1016
161016;10000000;nt1017
161017;10000000;nt1018
161018;10000000;nt1019
161019;10000000;nt1020
161020;10000000;nt1021
161021;10000000;nt1022
161022;10000000;nt1023
161023;10000000;nt1024
161024;10000000;nt1025
161025;10000000;nt1026
161026;10000000;nt1027
161027;10000000;nt1028
161028;10000000;nt1029
161029;10000000;nt1030
161030;10000000;nt1031
161031;10000000;nt1032
161032;10000000;nt1033
161033;10000000;nt1034
161034;10000000;nt1035
161035;10000000;nt1036
161036;10000000;nt1037
161037;10000000;nt1038
161038;10000000;nt1039
161039;10000000;nt1040
161040;10000000;nt1041
161041;10000000;nt1042
161042;10000000;nt1043
161043;10000000;nt1044
161044;10000000;nt1045
161045;10000000;nt1046
161046;10000000;nt1047
161047;10000000;nt1048
161048;10000000;nt1049
161049;10000000;nt1050
161050;10000000;nt1051
161051;10000000;nt1052
161052;10000000;nt1053
161053;10000000;nt1054
161054;10000000;nt1055
161055;10000000;nt1056
161056;10000000;nt1057
161057;10000000;nt1058
161058;10000000;nt1059
161059;10000000;nt1060
161060;10000000;nt1061
161061;10000000;nt1062
161062;10000000;nt1063
161063;10000000;nt1064
161064;10000000;nt1065
161065;10000000;nt1066
161066;10000000;nt1067
161067;10000000;nt1068
161068;10000000;nt1069
161069;10000000;nt1070
161070;10000000;nt1071
161071;10000000;nt1072
161072;10000000;nt1073
161073;10000000;nt1074
161074;10000000;nt1075
161075;10000000;nt1076
161076;10000000;nt1077
161077;10000000;nt1078
161078;10000000;nt1079
161079;10000000;nt1080
161080;10000000;nt1081
161081;10000000;nt1082
161082;10000000;nt1083
161083;10000000;nt1084
161084;10000000;nt1085
161085;10000000;nt1086
161086;10000000;nt1087
161087;10000000;nt1088
161088;10000000;nt1089
161089;10000000;nt1090
161090;10000000;nt1091
161091;10000000;nt1092
161092;10000000;nt1093
161093;10000000;nt1094
161094;10000000;nt1095
161095;10000000;nt1096
161096;10000000;nt1097
161097;10000000;nt1098
161098;10000000;nt1099
161099;10000000;nt1100
161100;10000000;nt1101
161101;10000000;nt1102
161102;10000000;nt1103
161103;10000000;nt1104
161104;10000000;nt1105
161105;10000000;nt1106
161106;10000000;nt1107
161107;10000000;nt1108
161108;10000000;nt1109
161109;10000000;nt1110
161110;10000000;nt1111
161111;10000000;nt1112
161112;10000000;nt1113
161113;10000000;nt1114
161114;10000000;nt1115
161115;10000000;nt1116
161116;10000000;nt1117
161117;10000000;nt1118
161118;10000000;nt1119
161119;10000000;nt1120
161120;10000000;nt1121
161121;10000000;nt1122
161122;10000000;nt1123
161123;10000000;nt1124
161124;10000000;nt1125
161125;10000000;nt1126
161126;10000000;nt1127
161127;10000000;nt1128
161128;10000000;nt1129
161129;10000000;nt1130
161130;10000000;nt1131
161131;10000000;nt1132
161132;10000000;nt1133
161133;10000000;nt1134
161134;10000000;nt1135
161135;10000000;nt1136
161136;10000000;nt1137
161137;10000000;nt1138
161138;10000000;nt1139
161139;10000000;nt1140
161140;10000000;nt1141
161141;10000000;nt1142
161142;10000000;nt1143
161143;10000000;nt1144
161144;10000000;nt1145
161145;10000000;nt1146
161146;10000000;nt1147
161147;10000000;nt1148
161148;10000000;nt1149
161149;10000000;nt1150
161150;10000000;nt1151
161151;10000000;nt1152
161152;10000000;nt1153
161153;10000000;nt1154
161154;10000000;nt1155
161155;10000000;nt1156
161156;10000000;nt1157
161157;10000000;nt1158
161158;10000000;nt1159
161159;10000000;nt1160
161160;10000000;nt1161
161161;10000000;nt1162
161162;10000000;nt1163
161163;10000000;nt1164
161164;10000000;nt1165
161165;10000000;nt1166
161166;10000000;nt1167
161167;10000000;nt1168
161168;10000000;nt1169
161169;10000000;nt1170
161170;10000000;nt1171
161171;10000000;nt1172
161172;10000000;nt1173
161173;10000000;nt1174
161174;10000000;nt1175
161175;10000000;nt1176
161176;10000000;nt1177
161177;10000000;nt1178
161178;10000000;nt1179
161179;10000000;nt1180
161180;10000000;nt1181
161181;10000000;nt1182
161182;10000000;nt1183
161183;10000000;nt1184
161184;10000000;nt1185
161185;10000000;nt1186
161186;10000000;nt1187
161187;10000000;nt1188
161188;10000000;nt1189
161189;10000000;nt1190
161190;10000000;nt1191
161191;10000000;nt1192
161192;10000000;nt1193
161193;10000000;nt1194
161194;10000000;nt1195
161195;10000000;nt1196
161196;10000000;nt1197
161197;10000000;nt1198
161198;10000000;nt1199
161199;10000000;nt1200
161200;10000000;nt1201
161201;10000000;nt1202
161202;10000000;nt1203
161203;10000000;nt1204
161204;10000000;nt1205
161205;10000000;nt1206
161206;10000000;nt1207
161207;10000000;nt1208
161208;10000000;nt1209
161209;10000000;nt1210
161210;10000000;nt1211
161211;10000000;nt1212
161212;10000000;nt1213
161213;10000000;nt1214
161214;10000000;nt1215
161215;10000000;nt1216
161216;10000000;nt1217
161217;10000000;nt1218
161218;10000000;nt1219
161219;10000000;nt1220
161220;10000000;nt1221
161221;10000000;nt1222
161222;10000000;nt1223
161223;10000000;nt1224
161224;10000000;nt1225
161225;10000000;nt1226
161226;10000000;nt1227
161227;10000000;nt1228
161228;10000000;nt1229
161229;10000000;nt1230
161230;10000000;nt1231
161231;10000000;nt1232
161232;10000000;nt1233
161233;10000000;nt1234
161234;10000000;nt1235
161235;10000000;nt1236
161236;10000000;nt1237
161237;10000000;nt1238
161238;10000000;nt1239
161239;10000000;nt1240
161240;10000000;nt1241
161241;10000000;nt1242
161242;10000000;nt1243
161243;10000000;nt1244
161244;10000000;nt1245
161245;10000000;nt1246
