portfolioRefCode;refCode;quantity;price;amount
nt207;hk-0207;100;50;5000
nt208;hk-0208;100;50;5000
nt209;hk-0209;100;50;5000
nt210;hk-0210;100;50;5000
nt211;hk-0211;100;50;5000
nt212;hk-0212;100;50;5000
nt213;hk-0213;100;50;5000
nt214;hk-0214;100;50;5000
nt215;hk-0215;100;50;5000
nt216;hk-0216;100;50;5000
nt217;hk-0217;100;50;5000
nt218;hk-0218;100;50;5000
nt219;hk-0219;100;50;5000
nt220;hk-0220;100;50;5000
nt221;hk-0221;100;50;5000
nt222;hk-0222;100;50;5000
nt223;hk-0223;100;50;5000
nt224;hk-0224;100;50;5000
nt225;hk-0225;100;50;5000
nt226;hk-0226;100;50;5000
nt227;hk-0227;100;50;5000
nt228;hk-0228;100;50;5000
nt229;hk-0229;100;50;5000
nt230;hk-0230;100;50;5000
nt231;hk-0231;100;50;5000
nt232;hk-0232;100;50;5000
nt233;hk-0233;100;50;5000
nt234;hk-0234;100;50;5000
nt235;hk-0235;100;50;5000
nt236;hk-0236;100;50;5000
nt237;hk-0237;100;50;5000
nt238;hk-0238;100;50;5000
nt239;hk-0239;100;50;5000
nt240;hk-0240;100;50;5000
nt241;hk-0241;100;50;5000
nt242;hk-0242;100;50;5000
nt243;hk-0243;100;50;5000
nt244;hk-0244;100;50;5000
nt245;hk-0245;100;50;5000
nt246;hk-0246;100;50;5000
nt247;hk-0247;100;50;5000
nt248;hk-0248;100;50;5000
nt249;hk-0249;100;50;5000
nt250;hk-0250;100;50;5000
nt251;hk-0251;100;50;5000
nt252;hk-0252;100;50;5000
nt253;hk-0253;100;50;5000
nt254;hk-0254;100;50;5000
nt255;hk-0255;100;50;5000
nt256;hk-0256;100;50;5000
nt257;hk-0257;100;50;5000
nt258;hk-0258;100;50;5000
nt259;hk-0259;100;50;5000
nt260;hk-0260;100;50;5000
nt261;hk-0261;100;50;5000
nt262;hk-0262;100;50;5000
nt263;hk-0263;100;50;5000
nt264;hk-0264;100;50;5000
nt265;hk-0265;100;50;5000
nt266;hk-0266;100;50;5000
nt267;hk-0267;100;50;5000
nt268;hk-0268;100;50;5000
nt269;hk-0269;100;50;5000
nt270;hk-0270;100;50;5000
nt271;hk-0271;100;50;5000
nt272;hk-0272;100;50;5000
nt273;hk-0273;100;50;5000
nt274;hk-0274;100;50;5000
nt275;hk-0275;100;50;5000
nt276;hk-0276;100;50;5000
nt277;hk-0277;100;50;5000
nt278;hk-0278;100;50;5000
nt279;hk-0279;100;50;5000
nt280;hk-0280;100;50;5000
nt281;hk-0281;100;50;5000
nt282;hk-0282;100;50;5000
nt283;hk-0283;100;50;5000
nt284;hk-0284;100;50;5000
nt285;hk-0285;100;50;5000
nt286;hk-0286;100;50;5000
nt287;hk-0287;100;50;5000
nt288;hk-0288;100;50;5000
nt289;hk-0289;100;50;5000
nt290;hk-0290;100;50;5000
nt291;hk-0291;100;50;5000
nt292;hk-0292;100;50;5000
nt293;hk-0293;100;50;5000
nt294;hk-0294;100;50;5000
nt295;hk-0295;100;50;5000
nt296;hk-0296;100;50;5000
nt297;hk-0297;100;50;5000
nt298;hk-0298;100;50;5000
nt299;hk-0299;100;50;5000
nt300;hk-0300;100;50;5000
nt301;hk-0301;100;50;5000
nt302;hk-0302;100;50;5000
nt303;hk-0303;100;50;5000
nt304;hk-0304;100;50;5000
nt305;hk-0305;100;50;5000
nt306;hk-0306;100;50;5000
nt307;hk-0307;100;50;5000
nt308;hk-0308;100;50;5000
nt309;hk-0309;100;50;5000
nt310;hk-0310;100;50;5000
nt311;hk-0311;100;50;5000
nt312;hk-0312;100;50;5000
nt313;hk-0313;100;50;5000
nt314;hk-0314;100;50;5000
nt315;hk-0315;100;50;5000
nt316;hk-0316;100;50;5000
nt317;hk-0317;100;50;5000
nt318;hk-0318;100;50;5000
nt319;hk-0319;100;50;5000
nt320;hk-0320;100;50;5000
nt321;hk-0321;100;50;5000
nt322;hk-0322;100;50;5000
nt323;hk-0323;100;50;5000
nt324;hk-0324;100;50;5000
nt325;hk-0325;100;50;5000
nt326;hk-0326;100;50;5000
nt327;hk-0327;100;50;5000
nt328;hk-0328;100;50;5000
nt329;hk-0329;100;50;5000
nt330;hk-0330;100;50;5000
nt331;hk-0331;100;50;5000
nt332;hk-0332;100;50;5000
nt333;hk-0333;100;50;5000
nt334;hk-0334;100;50;5000
nt335;hk-0335;100;50;5000
nt336;hk-0336;100;50;5000
nt337;hk-0337;100;50;5000
nt338;hk-0338;100;50;5000
nt339;hk-0339;100;50;5000
nt340;hk-0340;100;50;5000
nt341;hk-0341;100;50;5000
nt342;hk-0342;100;50;5000
nt343;hk-0343;100;50;5000
nt344;hk-0344;100;50;5000
nt345;hk-0345;100;50;5000
nt346;hk-0346;100;50;5000
nt347;hk-0347;100;50;5000
nt348;hk-0348;100;50;5000
nt349;hk-0349;100;50;5000
nt350;hk-0350;100;50;5000
nt351;hk-0351;100;50;5000
nt352;hk-0352;100;50;5000
nt353;hk-0353;100;50;5000
nt354;hk-0354;100;50;5000
nt355;hk-0355;100;50;5000
nt356;hk-0356;100;50;5000
nt357;hk-0357;100;50;5000
nt358;hk-0358;100;50;5000
nt359;hk-0359;100;50;5000
nt360;hk-0360;100;50;5000
nt361;hk-0361;100;50;5000
nt362;hk-0362;100;50;5000
nt363;hk-0363;100;50;5000
nt364;hk-0364;100;50;5000
nt365;hk-0365;100;50;5000
nt366;hk-0366;100;50;5000
nt367;hk-0367;100;50;5000
nt368;hk-0368;100;50;5000
nt369;hk-0369;100;50;5000
nt370;hk-0370;100;50;5000
nt371;hk-0371;100;50;5000
nt372;hk-0372;100;50;5000
nt373;hk-0373;100;50;5000
nt374;hk-0374;100;50;5000
nt375;hk-0375;100;50;5000
nt376;hk-0376;100;50;5000
nt377;hk-0377;100;50;5000
nt378;hk-0378;100;50;5000
nt379;hk-0379;100;50;5000
nt380;hk-0380;100;50;5000
nt381;hk-0381;100;50;5000
nt382;hk-0382;100;50;5000
nt383;hk-0383;100;50;5000
nt384;hk-0384;100;50;5000
nt385;hk-0385;100;50;5000
nt386;hk-0386;100;50;5000
nt387;hk-0387;100;50;5000
nt388;hk-0388;100;50;5000
nt389;hk-0389;100;50;5000
nt390;hk-0390;100;50;5000
nt391;hk-0391;100;50;5000
nt392;hk-0392;100;50;5000
nt393;hk-0393;100;50;5000
nt394;hk-0394;100;50;5000
nt395;hk-0395;100;50;5000
nt396;hk-0396;100;50;5000
nt397;hk-0397;100;50;5000
nt398;hk-0398;100;50;5000
nt399;hk-0399;100;50;5000
nt400;hk-0400;100;50;5000
nt401;hk-0401;100;50;5000
nt402;hk-0402;100;50;5000
nt403;hk-0403;100;50;5000
nt404;hk-0404;100;50;5000
nt405;hk-0405;100;50;5000
nt406;hk-0406;100;50;5000
nt407;hk-0407;100;50;5000
nt408;hk-0408;100;50;5000
nt409;hk-0409;100;50;5000
nt410;hk-0410;100;50;5000
nt411;hk-0411;100;50;5000
nt412;hk-0412;100;50;5000
nt413;hk-0413;100;50;5000
nt414;hk-0414;100;50;5000
nt415;hk-0415;100;50;5000
nt416;hk-0416;100;50;5000
nt417;hk-0417;100;50;5000
nt418;hk-0418;100;50;5000
nt419;hk-0419;100;50;5000
nt420;hk-0420;100;50;5000
nt421;hk-0421;100;50;5000
nt422;hk-0422;100;50;5000
nt423;hk-0423;100;50;5000
nt424;hk-0424;100;50;5000
nt425;hk-0425;100;50;5000
nt426;hk-0426;100;50;5000
nt427;hk-0427;100;50;5000
nt428;hk-0428;100;50;5000
nt429;hk-0429;100;50;5000
nt430;hk-0430;100;50;5000
nt431;hk-0431;100;50;5000
nt432;hk-0432;100;50;5000
nt433;hk-0433;100;50;5000
nt434;hk-0434;100;50;5000
nt435;hk-0435;100;50;5000
nt436;hk-0436;100;50;5000
nt437;hk-0437;100;50;5000
nt438;hk-0438;100;50;5000
nt439;hk-0439;100;50;5000
nt440;hk-0440;100;50;5000
nt441;hk-0441;100;50;5000
nt442;hk-0442;100;50;5000
nt443;hk-0443;100;50;5000
nt444;hk-0444;100;50;5000
nt445;hk-0445;100;50;5000
nt446;hk-0446;100;50;5000
nt447;hk-0447;100;50;5000
nt448;hk-0448;100;50;5000
nt449;hk-0449;100;50;5000
nt450;hk-0450;100;50;5000
nt451;hk-0451;100;50;5000
nt452;hk-0452;100;50;5000
nt453;hk-0453;100;50;5000
nt454;hk-0454;100;50;5000
nt455;hk-0455;100;50;5000
nt456;hk-0456;100;50;5000
nt457;hk-0457;100;50;5000
nt458;hk-0458;100;50;5000
nt459;hk-0459;100;50;5000
nt460;hk-0460;100;50;5000
nt461;hk-0461;100;50;5000
nt462;hk-0462;100;50;5000
nt463;hk-0463;100;50;5000
nt464;hk-0464;100;50;5000
nt465;hk-0465;100;50;5000
nt466;hk-0466;100;50;5000
nt467;hk-0467;100;50;5000
nt468;hk-0468;100;50;5000
nt469;hk-0469;100;50;5000
nt470;hk-0470;100;50;5000
nt471;hk-0471;100;50;5000
nt472;hk-0472;100;50;5000
nt473;hk-0473;100;50;5000
nt474;hk-0474;100;50;5000
nt475;hk-0475;100;50;5000
nt476;hk-0476;100;50;5000
nt477;hk-0477;100;50;5000
nt478;hk-0478;100;50;5000
nt479;hk-0479;100;50;5000
nt480;hk-0480;100;50;5000
nt481;hk-0481;100;50;5000
nt482;hk-0482;100;50;5000
nt483;hk-0483;100;50;5000
nt484;hk-0484;100;50;5000
nt485;hk-0485;100;50;5000
nt486;hk-0486;100;50;5000
nt487;hk-0487;100;50;5000
nt488;hk-0488;100;50;5000
nt489;hk-0489;100;50;5000
nt490;hk-0490;100;50;5000
nt491;hk-0491;100;50;5000
nt492;hk-0492;100;50;5000
nt493;hk-0493;100;50;5000
nt494;hk-0494;100;50;5000
nt495;hk-0495;100;50;5000
nt496;hk-0496;100;50;5000
nt497;hk-0497;100;50;5000
nt498;hk-0498;100;50;5000
nt499;hk-0499;100;50;5000
nt500;hk-0500;100;50;5000
nt501;hk-0501;100;50;5000
nt502;hk-0502;100;50;5000
nt503;hk-0503;100;50;5000
nt504;hk-0504;100;50;5000
nt505;hk-0505;100;50;5000
nt506;hk-0506;100;50;5000
nt507;hk-0507;100;50;5000
nt508;hk-0508;100;50;5000
nt509;hk-0509;100;50;5000
nt510;hk-0510;100;50;5000
nt511;hk-0511;100;50;5000
nt512;hk-0512;100;50;5000
nt513;hk-0513;100;50;5000
nt514;hk-0514;100;50;5000
nt515;hk-0515;100;50;5000
nt516;hk-0516;100;50;5000
nt517;hk-0517;100;50;5000
nt518;hk-0518;100;50;5000
nt519;hk-0519;100;50;5000
nt520;hk-0520;100;50;5000
nt521;hk-0521;100;50;5000
nt522;hk-0522;100;50;5000
nt523;hk-0523;100;50;5000
nt524;hk-0524;100;50;5000
nt525;hk-0525;100;50;5000
nt526;hk-0526;100;50;5000
nt527;hk-0527;100;50;5000
nt528;hk-0528;100;50;5000
nt529;hk-0529;100;50;5000
nt530;hk-0530;100;50;5000
nt531;hk-0531;100;50;5000
nt532;hk-0532;100;50;5000
nt533;hk-0533;100;50;5000
nt534;hk-0534;100;50;5000
nt535;hk-0535;100;50;5000
nt536;hk-0536;100;50;5000
nt537;hk-0537;100;50;5000
nt538;hk-0538;100;50;5000
nt539;hk-0539;100;50;5000
nt540;hk-0540;100;50;5000
nt541;hk-0541;100;50;5000
nt542;hk-0542;100;50;5000
nt543;hk-0543;100;50;5000
nt544;hk-0544;100;50;5000
nt545;hk-0545;100;50;5000
nt546;hk-0546;100;50;5000
nt547;hk-0547;100;50;5000
nt548;hk-0548;100;50;5000
nt549;hk-0549;100;50;5000
nt550;hk-0550;100;50;5000
nt551;hk-0551;100;50;5000
nt552;hk-0552;100;50;5000
nt553;hk-0553;100;50;5000
nt554;hk-0554;100;50;5000
nt555;hk-0555;100;50;5000
nt556;hk-0556;100;50;5000
nt557;hk-0557;100;50;5000
nt558;hk-0558;100;50;5000
nt559;hk-0559;100;50;5000
nt560;hk-0560;100;50;5000
nt561;hk-0561;100;50;5000
nt562;hk-0562;100;50;5000
nt563;hk-0563;100;50;5000
nt564;hk-0564;100;50;5000
nt565;hk-0565;100;50;5000
nt566;hk-0566;100;50;5000
nt567;hk-0567;100;50;5000
nt568;hk-0568;100;50;5000
nt569;hk-0569;100;50;5000
nt570;hk-0570;100;50;5000
nt571;hk-0571;100;50;5000
nt572;hk-0572;100;50;5000
nt573;hk-0573;100;50;5000
nt574;hk-0574;100;50;5000
nt575;hk-0575;100;50;5000
nt576;hk-0576;100;50;5000
nt577;hk-0577;100;50;5000
nt578;hk-0578;100;50;5000
nt579;hk-0579;100;50;5000
nt580;hk-0580;100;50;5000
nt581;hk-0581;100;50;5000
nt582;hk-0582;100;50;5000
nt583;hk-0583;100;50;5000
nt584;hk-0584;100;50;5000
nt585;hk-0585;100;50;5000
nt586;hk-0586;100;50;5000
nt587;hk-0587;100;50;5000
nt588;hk-0588;100;50;5000
nt589;hk-0589;100;50;5000
nt590;hk-0590;100;50;5000
nt591;hk-0591;100;50;5000
nt592;hk-0592;100;50;5000
nt593;hk-0593;100;50;5000
nt594;hk-0594;100;50;5000
nt595;hk-0595;100;50;5000
nt596;hk-0596;100;50;5000
nt597;hk-0597;100;50;5000
nt598;hk-0598;100;50;5000
nt599;hk-0599;100;50;5000
nt600;hk-0600;100;50;5000
nt601;hk-0601;100;50;5000
nt602;hk-0602;100;50;5000
nt603;hk-0603;100;50;5000
nt604;hk-0604;100;50;5000
nt605;hk-0605;100;50;5000
nt606;hk-0606;100;50;5000
nt607;hk-0607;100;50;5000
nt608;hk-0608;100;50;5000
nt609;hk-0609;100;50;5000
nt610;hk-0610;100;50;5000
nt611;hk-0611;100;50;5000
nt612;hk-0612;100;50;5000
nt613;hk-0613;100;50;5000
nt614;hk-0614;100;50;5000
nt615;hk-0615;100;50;5000
nt616;hk-0616;100;50;5000
nt617;hk-0617;100;50;5000
nt618;hk-0618;100;50;5000
nt619;hk-0619;100;50;5000
nt620;hk-0620;100;50;5000
nt621;hk-0621;100;50;5000
nt622;hk-0622;100;50;5000
nt623;hk-0623;100;50;5000
nt624;hk-0624;100;50;5000
nt625;hk-0625;100;50;5000
nt626;hk-0626;100;50;5000
nt627;hk-0627;100;50;5000
nt628;hk-0628;100;50;5000
nt629;hk-0629;100;50;5000
nt630;hk-0630;100;50;5000
nt631;hk-0631;100;50;5000
nt632;hk-0632;100;50;5000
nt633;hk-0633;100;50;5000
nt634;hk-0634;100;50;5000
nt635;hk-0635;100;50;5000
nt636;hk-0636;100;50;5000
nt637;hk-0637;100;50;5000
nt638;hk-0638;100;50;5000
nt639;hk-0639;100;50;5000
nt640;hk-0640;100;50;5000
nt641;hk-0641;100;50;5000
nt642;hk-0642;100;50;5000
nt643;hk-0643;100;50;5000
nt644;hk-0644;100;50;5000
nt645;hk-0645;100;50;5000
nt646;hk-0646;100;50;5000
nt647;hk-0647;100;50;5000
nt648;hk-0648;100;50;5000
nt649;hk-0649;100;50;5000
nt650;hk-0650;100;50;5000
nt651;hk-0651;100;50;5000
nt652;hk-0652;100;50;5000
nt653;hk-0653;100;50;5000
nt654;hk-0654;100;50;5000
nt655;hk-0655;100;50;5000
nt656;hk-0656;100;50;5000
nt657;hk-0657;100;50;5000
nt658;hk-0658;100;50;5000
nt659;hk-0659;100;50;5000
nt660;hk-0660;100;50;5000
nt661;hk-0661;100;50;5000
nt662;hk-0662;100;50;5000
nt663;hk-0663;100;50;5000
nt664;hk-0664;100;50;5000
nt665;hk-0665;100;50;5000
nt666;hk-0666;100;50;5000
nt667;hk-0667;100;50;5000
nt668;hk-0668;100;50;5000
nt669;hk-0669;100;50;5000
nt670;hk-0670;100;50;5000
nt671;hk-0671;100;50;5000
nt672;hk-0672;100;50;5000
nt673;hk-0673;100;50;5000
nt674;hk-0674;100;50;5000
nt675;hk-0675;100;50;5000
nt676;hk-0676;100;50;5000
nt677;hk-0677;100;50;5000
nt678;hk-0678;100;50;5000
nt679;hk-0679;100;50;5000
nt680;hk-0680;100;50;5000
nt681;hk-0681;100;50;5000
nt682;hk-0682;100;50;5000
nt683;hk-0683;100;50;5000
nt684;hk-0684;100;50;5000
nt685;hk-0685;100;50;5000
nt686;hk-0686;100;50;5000
nt687;hk-0687;100;50;5000
nt688;hk-0688;100;50;5000
nt689;hk-0689;100;50;5000
nt690;hk-0690;100;50;5000
nt691;hk-0691;100;50;5000
nt692;hk-0692;100;50;5000
nt693;hk-0693;100;50;5000
nt694;hk-0694;100;50;5000
nt695;hk-0695;100;50;5000
nt696;hk-0696;100;50;5000
nt697;hk-0697;100;50;5000
nt698;hk-0698;100;50;5000
nt699;hk-0699;100;50;5000
nt700;hk-0700;100;50;5000
nt701;hk-0701;100;50;5000
nt702;hk-0702;100;50;5000
nt703;hk-0703;100;50;5000
nt704;hk-0704;100;50;5000
nt705;hk-0705;100;50;5000
nt706;hk-0706;100;50;5000
nt707;hk-0707;100;50;5000
nt708;hk-0708;100;50;5000
nt709;hk-0709;100;50;5000
nt710;hk-0710;100;50;5000
nt711;hk-0711;100;50;5000
nt712;hk-0712;100;50;5000
nt713;hk-0713;100;50;5000
nt714;hk-0714;100;50;5000
nt715;hk-0715;100;50;5000
nt716;hk-0716;100;50;5000
nt717;hk-0717;100;50;5000
nt718;hk-0718;100;50;5000
nt719;hk-0719;100;50;5000
nt720;hk-0720;100;50;5000
nt721;hk-0721;100;50;5000
nt722;hk-0722;100;50;5000
nt723;hk-0723;100;50;5000
nt724;hk-0724;100;50;5000
nt725;hk-0725;100;50;5000
nt726;hk-0726;100;50;5000
nt727;hk-0727;100;50;5000
nt728;hk-0728;100;50;5000
nt729;hk-0729;100;50;5000
nt730;hk-0730;100;50;5000
nt731;hk-0731;100;50;5000
nt732;hk-0732;100;50;5000
nt733;hk-0733;100;50;5000
nt734;hk-0734;100;50;5000
nt735;hk-0735;100;50;5000
nt736;hk-0736;100;50;5000
nt737;hk-0737;100;50;5000
nt738;hk-0738;100;50;5000
nt739;hk-0739;100;50;5000
nt740;hk-0740;100;50;5000
nt741;hk-0741;100;50;5000
nt742;hk-0742;100;50;5000
nt743;hk-0743;100;50;5000
nt744;hk-0744;100;50;5000
nt745;hk-0745;100;50;5000
nt746;hk-0746;100;50;5000
nt747;hk-0747;100;50;5000
nt748;hk-0748;100;50;5000
nt749;hk-0749;100;50;5000
nt750;hk-0750;100;50;5000
nt751;hk-0751;100;50;5000
nt752;hk-0752;100;50;5000
nt753;hk-0753;100;50;5000
nt754;hk-0754;100;50;5000
nt755;hk-0755;100;50;5000
nt756;hk-0756;100;50;5000
nt757;hk-0757;100;50;5000
nt758;hk-0758;100;50;5000
nt759;hk-0759;100;50;5000
nt760;hk-0760;100;50;5000
nt761;hk-0761;100;50;5000
nt762;hk-0762;100;50;5000
nt763;hk-0763;100;50;5000
nt764;hk-0764;100;50;5000
nt765;hk-0765;100;50;5000
nt766;hk-0766;100;50;5000
nt767;hk-0767;100;50;5000
nt768;hk-0768;100;50;5000
nt769;hk-0769;100;50;5000
nt770;hk-0770;100;50;5000
nt771;hk-0771;100;50;5000
nt772;hk-0772;100;50;5000
nt773;hk-0773;100;50;5000
nt774;hk-0774;100;50;5000
nt775;hk-0775;100;50;5000
nt776;hk-0776;100;50;5000
nt777;hk-0777;100;50;5000
nt778;hk-0778;100;50;5000
nt779;hk-0779;100;50;5000
nt780;hk-0780;100;50;5000
nt781;hk-0781;100;50;5000
nt782;hk-0782;100;50;5000
nt783;hk-0783;100;50;5000
nt784;hk-0784;100;50;5000
nt785;hk-0785;100;50;5000
nt786;hk-0786;100;50;5000
nt787;hk-0787;100;50;5000
nt788;hk-0788;100;50;5000
nt789;hk-0789;100;50;5000
nt790;hk-0790;100;50;5000
nt791;hk-0791;100;50;5000
nt792;hk-0792;100;50;5000
nt793;hk-0793;100;50;5000
nt794;hk-0794;100;50;5000
nt795;hk-0795;100;50;5000
nt796;hk-0796;100;50;5000
nt797;hk-0797;100;50;5000
nt798;hk-0798;100;50;5000
nt799;hk-0799;100;50;5000
nt800;hk-0800;100;50;5000
nt801;hk-0801;100;50;5000
nt802;hk-0802;100;50;5000
nt803;hk-0803;100;50;5000
nt804;hk-0804;100;50;5000
nt805;hk-0805;100;50;5000
nt806;hk-0806;100;50;5000
nt807;hk-0807;100;50;5000
nt808;hk-0808;100;50;5000
nt809;hk-0809;100;50;5000
nt810;hk-0810;100;50;5000
nt811;hk-0811;100;50;5000
nt812;hk-0812;100;50;5000
nt813;hk-0813;100;50;5000
nt814;hk-0814;100;50;5000
nt815;hk-0815;100;50;5000
nt816;hk-0816;100;50;5000
nt817;hk-0817;100;50;5000
nt818;hk-0818;100;50;5000
nt819;hk-0819;100;50;5000
nt820;hk-0820;100;50;5000
